uid;type;language;title;size;country;newspaper;issue;pages;nb_pages;relevance;year;is_on_front;date;persons_mentioned;locations_mentioned;content;access_right;content_provider;is_content_available;collections;[total:145,available:200]
EXP-1934-12-04-a-i0127;;fr;Importantes nominations dans l'armée suisse;288;CH;EXP;EXP-1934-12-04-a;8;1;22.992085;1934;False;1934-12-04T00:00:00Z;colonel Labhart BERNE|colonel Georges Marcuard;Munich;Importantes nominations dans l'armée suisse Décisions du Conseil fédéral Le colonel Labhart BERNE, 3. — Le Conseil fédéral a nommé le colonel Labhart chef d'arme de la cavalerie en remplacement du colonel Schué décédé. Le colonel Labhart est natif de Steckboorn (Thurgovie). Après des études d'ingénieur-mécanicen qu'il poursuivit aux universités de Charlattenburg et de Munich, il fut nommé instructeur d'artillerie en 1906. Promu capitaine en 1912, il passe en 1915 dans l'état-major général, où il resta durant toute sa carrière, avec de courts intervalles pendant lesquels il eut des commandements _. En 1924, le Conseil fédéral le nomme chef de section à l'état-major de l'armée, où il s'occupe des transports de l'armée. L'organisation actuelle des services automobiles est son œuvre. A partir du 1 er janvier 1935, les troupes motorisées seront adjointes aux services de la cavalerie. Plus tard les troupes cyclistes en dépendront aussi. Ainsi, suivant la position des services de l'état-major général, « les troupes légères > dépendront d'un seul et même service, Le colonel Marcuard Le Conseil fédéral a nommé d'autre part le colonel Marcuard chef d'arme de l'artillerie en remplacement du colonel Bridel, démissionnaire. Le colonel Georges Marcuard, de Berne et Payerne, est né en 1881. Lieutenant d'artillerie en 1902, il fut incorporé à la batterie de campagne 67. Capitaine en 1911, il mande à ce moment la batterie de campagne 4, après avoir fonctionné dans les années 1910-1911 comme deuxième adjudant de la troisième division. Instructeur d'artillerie depuis 1907, le colonel Marcuard fut durant presque toute sa carrière, attaché à la place de Bière, où il fut de 1920 à 1930 commandant des écoles de recrues et commandant de place. ___*_ _c ^___-__ _v ____ _r _ v _ _v _ _^ _«__-___-_^_ ;OpenPrivate;SNL;y;local-duma-OKI6MeiT,local-Jl3MCLOw-daoNitOV;
EXP-1934-12-22-a-i0207;;fr;Promotions et mutations;577;CH;EXP;EXP-1934-12-22-a;14;1;10.322993;1934;False;1934-12-22T00:00:00Z;colonel Combe|Duc Adolphe|Ulrich Charles|Derron Paul|Peter Daniel|Huber Paul|colonel Huber|lieutenant-colonel Louis Clerc|major Pierre de Murait|major Paul Christe|major Henri Mugeli;Neuchâtel|Lausanne|Lausanne|Lausanne|Yverdon|Genève|Lausanne|Neuchâtel|Lausanne|Yverdon|Lausanne|Kloten|Porrentruy|Neuchâtel|Delémont|Tramelan|Wavre|Neuchâtel;"_Promotions et mutations La vie militaire dans le haut commandement de l'armée Le Conseil fédéral a procédé ; vendredi matin, aux promotions et mutations militaires de fin d'année. Nous extrayons du tableau qu'il a publié, les noms intéressant la région. Les nouveaux divisionnaires Sont promus au grade de coloneldivisionnaire les colonels : ouard Georges, la Tour-de-Peilz ; Labhart Jakob, Berne ; Combe Gustave, Berne. Le colonel Marcuard vient d'être nommé chef d'arme de l'artillerie, le colonel Labhart, chef d'arme de la cavalerie et le colonel Combe reçoit le commandement de la lre division. Les nouveaux colonels Sont promus colonels, les nants-colonels : Infanterie : Blanc Albert, Ouchy (à d.) ; Carbonnier Louis, Neuchâtel (à d.) ; Jaquiililard Robert, Lausanne (à d.) ; Duc Adolphe, Lausanne (cdt Br. I. 2). Cavalerie : Chenevière Fernand, Céligny (à d.) Officiers du commissariat : Collet Paul, Lausanne (E. M. lre dliv.) Troupe du train : Grenon Damien, Yverdon (E. M. 2 me div.) Justice militaire : Martin-Achar-d Alex ., Genève (suppl. de l'auditeur en chef). Service des étapes : Roulet Samuel, Missy. Service de l'arrière ; de Tscharner Edouard, Lavigny ; Ravussin Henri, Clarens. Lieutenants-colonels Sont promus au grade de nant-colonel, les majors : Etat-major général : Primault Edgar, Berne (È. M. G.) Infanterie : Villeneuve Emilie, Bévilard (cdt R. I. 9) ; Schenker Oscar, Colombier (à d.) ; Montfort Marcel, Lausanne (E. M. G.) ; Jolissaint Abel, Saint-Imier (à d.) ; Kessi Werner, Tavannes (à d.) Cavalerie : Ulrich Charles, la Chaux-de-Fonds (cdt R. drag. 1). Artillerie : de Montmollin Louis, Colombier (E. M. G.) Officier du commissariat : Borel Emmanuel, Neuchâtel (E. M. 2 me div. off. comm. adj.) Justice militaire : Etter Adrien, la Chaux-de-Fonds (trih. div. 2 A, grand-juge). Majors Sont promus au grade de major, les capitaines : Infanterie : Meystre Paid, Lausanne (cdt a. i. bat. car. 104) ; Derron Paul, Yverdon (Br. I. mont. 3, of. parc). Artillerie : Peter Daniel, Orbe (Cdt gr. art. camp. 3) ; Huber Paul, Lausanne (Cdt gr. art. camp. 5). Service de santé : Ruffy Roger, Avenches (R. I. 11). Vétérinaires : Montavon Marcel, Saignelégier (R. I. 38). Troupe du train : Gerber Daniel, Courgenay (Br. I. mont. 5). Service de l'arrière : Horrisberger Jules, Tavannes ; Aeschlimann Robert, Saint-Imier. Changements d'incorporation sans promotion Le colonel-divisionnaire Tissot quitte le commandement de la lre division ; il est nommé commandant des fortifications du Gothard. Le colonel Huber, de Kloten, est nommé commandant de la garnison de Saint-Maurice. Le lieutenant-colonel Louis Clerc, à Berne, prend le commandement du régiment d'infanterie 8. Le major Pierre de Murait, à Berne, prend le commandement du groupe de dragons 1. Le major Paul Christe, à Porrentruy, prend, le commandement du bat. de car. 9. Le major Henri Mugeli, à Neuchâtel est mis à disposition du canton de Berne. Libération du commandement Sont libérés du commandement, avec remerciements pour les services rendus : Infanterie ; Les majors Farron Henri, Delémont ; Bosshard Jacob, Tramelan. Artillerie : Le lieutenant-colonel Wavre André, Neuchâtel. lie service automobile rattaché à la cavalerie BERNE, 21. — Le Conseil fédéral a décidé de rattacher le service automobile de l'armée à la division cle cavalerie à partir du ler janvier 1935. Le chef d'arme de la cavalerie sera simultanément chef de section pour le service automobile. Le personnel administratif nécessaire _ à l'expédition des affaires du service automobile sera transféré à la division de la cavalerie, par le service de l'Etat-major général. ";OpenPrivate;SNL;y;local-em-LTHDN3Mk-zg7cm4F4,local-Jl3MCLOw-daoNitOV;
EXP-1935-08-26-a-i0043;;fr;Le Grand prix de Suisse;2138;CH;EXP;EXP-1935-08-26-a;4;1;5.041857;1935;False;1935-08-26T00:00:00Z;Richard Seaman de Londres|Richard Seaman de Londres|Français Pierre Veyron|Hans Kessler|Hans Ruesch|Richard Seaman|M. Baumann, conseiller fédéral|Brian Lewis|Brian Lewis;Suisse|Bremgarten|Bremgarten|Schaffhouse|Derby|Bira|Bira|Bira|Bira|Italien|Bira|Varzi|Varzi|Varzi|Bethlehem|Varzi|Varzi|Varzi|Varzi|Varzi;"Le Grand prix de Suisse LE SPORT AUTOMOBILE INTERNATIONAL A BERNE sestdisputéhierdevant40,000spectateurs Cette épreuve captivante s'est terminée par la victoire très nette de Caracciola sur Mercedes Le coureur français Chéron fait une chute de peu de gravité _^ n Le prix de Bremgarten et le prix. de la ville de Berne courus samedi et dimanche matin étaient réservés le premier aux Suisses, le second aux voiturettes LA PREMIERE JOURNEE Le prix de Bremgarten Il s'agit là d'une course nationale, réservée à des coureurs suisses et auxquels elle permet de se familiariser avec la technique des courses sur circuit et de leur faciliter ainsi la participation à des épreuves étrangères similaires. Cette course nationale a été disputée samedi après-midi dès 16 h. 15, en présence d'un assez nombreux public, et sur une piste en bon état, en dépit de la pluie tombée un peu avant. Les concurrents, au nombre de quinze, avaient à couvrir 14 tours du circuit qui, comme on le sait, mesure 7 km. 280, soit au total 101 km. 920. Ils. étaient répartis en quatre catégories : voitures de sport de moins et de plus de 1500 cmc. et voitures de course de moins et de plus de 1500 cmc. La course fut fort intéressante à suivre. Après un bon départ, le Bernois Walther, sur Bugatti, prend la tête. Il mène rondement et accomplit le quatrième tour en 3 * 24 "" 4, soit à une moyenne de 127 km. 820. Mais au neuvième tour, des ennuis à l'allumage le forcent à s'arrêter et à abandonner. Le Zuricois Christen sur Maserati prend'alors la tête et gagne sans être inquiété. Vers la fin, le Lausannois Hug sur Bugatti revient très fort. Dans la catégorie des voitures de sport, c'est d'abord Rampinelli, de Schaffhouse, qui tient la tête pendant les deux tiers du parcours, mais il est finalement dépassé par le Zuricois Fischer qui fit grosse impression. ""Voici les résultats : Voitures de sport jusqu'à 1500 cmc : 1. Becker (Zurich) sur M. G ., 12 tours en 52'54 "" 9 ; 2. Aichele (Baden) sur M. G ., 12 tours en 53'18 ""l ; 3. Pilloud (Châtel-Saint-Denis) sur Fiat, 12 tours en 53'57 "" 4. Voitures de sport de plus de 1500 cmc. : 1. Fischer (Zurich) sur Alfa Romeo, 14 tours en 51'49 "" 8 ; 2. Rampinelli (Schaffhouse) sur Alfa Romeo, 14 tours en 52'01 "" 6 ; 3. Godeffroy (Mûri, Berne) sur Bugatti, 14 tours en 53'04 "" 2. Voitures de course jusqu'à 1500 cmc. : 1. Avondet (Genève) sur Bugatti, 14 tours en 52'33 "" 7. Voitures de course de plus de 1500 cmc. : 1. Christen (Zurich) sur Maserati, 14 tours en 50'28 "" 7 (moyenne 121 km. 140) ; 2. Hug (Lausanne) sur Bugatti, 14 tours en 50'34 "" 9. LA DEUXIEME JOURNEE Presque toute la nuit, la pluie est tombée et à l'aube le ciel est sombre. Mais bientôt il s'éclaircit et le soleil semble vouloir, lui aussi, contribuer au succès de la course. Dès les premières heures du matin, des caravanes d'automobiles, de motocyclettes et de cars arrivent à Berne de tous les coins du pays et de l'étranger. I » a course des voiturettes Prix de Berne Double victoire anglaise Ne prennent part à cette course que des voiturettes d'une cylindrée inférieure à 1500 cmc. Les inscrits sont au nombre d'une vingtaine : Allemands, Français, Anglais, Italiens, Hollandais, Suisses, Tchécoslovaques et Siamois. Il y a parmi eux le vainqueur de l'an dernier, Richard Seaman de Londres et le Français Pierre Veyron, qui se classa second, une Anglaise, Mlle Stewart, qui c _« urt pour les automobiles Derby. Les couleurs suisses sont défendues par les Zuricois Hans Kessler et Hans Ruesch, pilotant tous deux des Maserati. L'Anglais Seaman, pilotant une voiture Era, est favori de l'épreuve avec son compatriote Mays qui s'est •montré le plus rapide à l'entraînement. Les concurrents ont à couvrir une distance de 145 km. 600, soit 20 tours. Le départ est donné à 10 h. 15. Au premier passage, Seaman mène devant Mays et Bira, tous trois sur voitures Era. Viennent ensuite Howe sur Delage, Ghersi sur Maserati. Kessler est huitième et Ruesch onzième. Au troisième tour, Mays doit s'arrêter. Il perd environ deux minutes et retombe de ce fait à la 14 me place. Après 5 tours (36 km. 400), le classement est le suivant : 1. Seaman sur Era, 16'18 "" 1 ; 2. Bira sur Era, 16'56 "" 1 ; 3. Ghersi sur Maserati, 16'58 "" 0 ; 4. Earl Howe sur Delage, 17'08 "" 8 ; 5. Veyron sur Bugatti, 17'45 "" 3. Par la suite, Veyron perd du terrain, tandis que Kessler remonte de plusieurs rangs, et au dixième tour il est cinquième avec un peu plus de deux minutes de retard sur Seaman qui mène toujours, et a accentué son avance sur son suivant immédiat Bira. Les 10 tours (72 km. 800) sont couverts par Seaman en 32'32 "" 9, par Bira en 33'24 "" 8, par Ghersi en 33'33 "" 8, par Ëarl Howe en 34'01 "" et par Ruesch en 34'41 "" 8. Seaman continue à rouler très régulièrement et se contente de maintenir son avance. Ruesch est dépassé au quatorzième tour par l'Italien Tuffanelli sur Maserati, tandis que Mays sur Era remonte au 7 me rang. Deux tours avant la fin, Ghersi sur Maserati est passé par Earl Howe _* sa machine faiblissant. Veyron abandonne de même que quelques autres coureurs. Voici le classement final : 1. Richard Seaman (Londres) sur Era, les 145 km. 600 en 1 h. 05'21 "" soit à la moyenne d'environ 133 km. 700 ; 2. B ! Bira (Siam) sur Era, 1 h. 06'15 "" 7 ; 3. Earl Howe (Londres) sur Delage, 1 h. 07'16 "" 2 ; 4. Tuffanelli Beppe (Ferrare) sur Maserati, en 1 h. 07'31 "" 8 ; 5. Ghersi (Italie) sur Maserati, en 1 h. 07'35 ""; 6. Ruesch (Suisse) sur Maserati, en 1 h. 07'47 "" 6 ; 7. Mays (Londres) sur Era, en 1 h. 08'17 "" 5 ; 8. Steinweg (Munich) sur Bugatti-Spécial 19 tours, en 1 h. 06'40 "" 5 ; 9. Kessler (Suisse) sur Maserati 19 tours, en 1 h. 06'43 "" 9. Quinze concurrents ont terminé la course dont Mlle Stewart qui a effectué 15 tours en 1 h. 05'46 "" 7. La nouvelle victoire du vainqueur de l'an dernier a été chaleureusement applaudie par le public. Le Grand prix (70 tours = 509 km. 600) Belle victoire de Caracciola sur Mécèdès-Benz qui bat tous les records Plus de 40,000 spectateurs échelonnés tout le long du circuit assistent à la course. Dans l'assistance, on note la présence de M. Baumann, conseiller fédéral. L'armée est représentée par le colonel Roost, commandant de corps, et le colonel divisionnaire Labhart. On remarque aussi plusieurs personnalités émihentes de différents pays, parmi lesquelles la ne-mère de Siam. A 13 h ., les concurrents, au nombre de dix-huit, prennent leur place de départ. Ce sont dans l'ordre : Stuck (Auto-Union), Caracciola (Mercedes-Benz), Varzi (Auto-Union), Rosemeyer (Auto-Union), Fagioli (Mercédès-Benz), Dreyfus (Alfa Romeo), Nuvolari (Alfa Romeo), Lang (Mercédès-Benz), Chiron (Alfa Romeo), von Brauchitsch (cédès-Benz), Etancelin (Maserati), Earl Howe (Bugatti), Farina (Maserati), Brian Lewis _( _fMaserati), Hartmann (Maserati), Barbieri (Alfa Romeo), Balestrero (Maserati), Sommer (Alfa Romeo). A 13 h. 20, le départ est donné. La piste est sèche, mais, malheureusement, la pluie tombe peu après, ce qui oblige la plupart des concurrents à changer de roues arrières. Caracciola prend la tête dès le départ et au premier passage il a déjà 5 secondés d'avance sur Varzi, luimême suivi par Stuck. Fagioli est quatrième, Rosemeyer cinquième et Nuvolari sixième. Deux kilomètres après le départ, Etancelin touche des sacs de sable et doit abandonner. Il ne se fait aucun mal. Caracciola effectue le deuxième tour en 2'49 "" 2 et le troisième en 2'48 "" 4, soit à une moyenne approximative de 156 km. à l'heure. Au cinquième tour, Varzi doit s'arrêter quelques instants pour vérifier son axe arrière. Barbieri abandonne pour ennuis de bougies. Le septième tour est couvert par Nuvolari dans le temps record de 2'45 "" 6 (moyenne 158 km. 452). Après 10 tours (72 km. 800), le classement est le suivant : 1. Caracciola 28'08 "" 2 ; 2. Stuck 28'28 "" 7 ; 3. Fagioli 28'29 "" 5 ; 4. Rosemeyer 28'30 "" 8 ; 5. von Brauchitsch 29'22 "" 2. Comme on le voit, ce sont tous des coureurs pilotant des voitures allemandes. Peu après, on apprend que Chiron a fait une chute à la sortie du virage de Bethlehem. Le sympathique coureur a été transporté à l'hôpital de l'Ile. Son état, heureusement, n'inspire pas d'inquiétude. Quant au coureur allemand Geyer, grièvement blessé à l'entraînement, il va mieux aussi. Stuck s'arrête plusieurs fois au boxe. Il change ses roues arrières, répare ses freins, puis cède finalement son volant au coureur Pietsch qui continue la course avec un fort retard. Von Brauchitsch abandonne aussi au 15 me tour. Après 20 tours (145 km. 600), le classement est le suivant : 1. Caracciola 59'28 "" 9 ; 2. Rosemeyer 1 h. 00'13 "" 6 ; 3. Fagioli 1 h. 01'08 ""; 4. Nuvolari 1 h. 01'59 "" 1 ; 5. Varzi 1 h. 02'57 "" 5. Brian Lewis abandonne à l'Eymatt, de même qu'Hartmann, qui est _tomi bé suns. se, faire „ da mal. .: ,. Y ii Après 30 tours, Caracciola a 48 "" d'avance sur Rosemeyer, 1'48 "" SûPï Fagioli, 3'42 "", soit plus d'un _tohr, sur Nuvolari. A mi-course (35 tours : 254 km. 800), le classement est le suivant : douze coureurs sont encore en course : 1. Caracciola 1 h. 46'48 "" 5 ; 2. Rosemeyer 1 h. 48'09 "" 9 ; 3. Fagioli 1 h. 48'34 "" 2 ; 4. Varzi 1 h. 51'54 "" 4 ; 5. Nuvolari 1 h. 52'01 "" 1 ; 6. Lang 1 h. 52'21 "" 9 ; 7. Dreyfus 1 h. 55'16 "" 1 ; 8. Farina 1 h. 55'45 "" 8 ; 9. Sommer 2 h. 00'01 "" 7 ; 10. Earl Howe 2 h. D 6'47 "" 7 ; 11. Pietsch 2 h. 15'02 "" 3 ; 12 Balestrero 2 h. 17'25 "" 2. Les coureurs s'arrêtent à tour de rôle pour se ravitailler en essence. Fagioli n'a besoin que de 35 "", Dreyfus de 40 "", Nuvolari 40 "" également, Caracciola 55 "" et Rosemeyer 60 "". A ce moment, la pluie cesse de tomber. La piste est vite sèche et les coureurs prennent une vitesse plus grande. Fagioli, qui marche très fort, parvient à passer Rosemeyer et prend la seconde place. Ce, sont maintenant deux Mercédès-Benz qui sont en tête, suivies de deux Auto-Union. Nuvolari sur Alfa Romeo est toujours cinquième. Au 50 me tour (364 km.), le classement est le suivant : 1. Caracciola 2 h. 32'55 "" 9 ; 2. Fagioli 2 h. 33'45 "" 1 ; 3. Rosemeyer 2 h. 34'01 "" 0 ; 4. Varzi 2 h. 38'05 "" 4 ; 5. Nuvolari 2 h. 39'29 "" 7. La course continue normalement et les positions ne changent guère. Fagioli fait une fin de course très rapide. Classement au 60 me tour : 436 km. 800 : 1. Caracciola 3 h. 2'5 "" 3 ; 2. Fagioli 3 h. 2'51 "" 2 ; 3. Rosemeyer 3 h. 3'21 "" 3 ; 4. Varzi 3 h. 7'7 "" 8 ; 5. Nuvolari 3 h. 9'36 "" 2. Les dix derniers tours n'apportent rien de nouveau. Caracciola termine en grand vainqueur, ayant mené du commencement à la fin. Sa victoire est chaudement acclamée par tout le public, tandis que la musique joue l'hymne allemand. Les autres coureurs qui terminent la course reçoivent eux aussi leur part d'applaudissements. Voici le classement complet de la course : 1. Caracciola (70 tours, 509 km. 600) en 3 h. 31'12 "" 2, moyenne à l'heure : 144 km. 772 ; record du tour en 2'44 "" 4 (moyenne 159 km. 200 ); 2. Fagioli 3 h. 31'48 "" 1 ; 3. Rosemeyer 3 h. 32'20 ""; 4. Varzi 3 b. 33'48 "" 5 (69 tours) ; 5. Nuvolari 3 h. 33'21 "" 7 (68 tours) ; 6. Lang 3 h. 32'29 "" 9 (67 tours ); 7. Dreyfus 3 h. 32'4 "" 9 (66 tours) ; 8. Farina 3 h. 32'23 "" 7 (64 tours) ; 9. Sommer 3 h. 33'47 "" (63 tours ); 10. Earl Howe 3 h. 33'12 "" 4 (60 tours) ; 11. Stuck-Pietsch 3 h. 33'31 "" 3 (57 tours ); 12. Balestrero 3 h. 32'37 "" 4 (53 tours). L'organisation de la course a été parfaite à tous points de vue. Lès services d'affichage et de presse ont, cette fois-ci, très bien fonctionné, à la satisfaction générale. ";OpenPrivate;SNL;y;local-duma-OKI6MeiT,local-em-LTHDN3Mk-zg7cm4F4,local-Jl3MCLOw-daoNitOV;
EXP-1936-05-28-a-i0089;;fr;Nomination du suppléant du chef de service de l'état-major général;89;CH;EXP;EXP-1936-05-28-a;6;1;88.18183;1936;False;1936-05-28T00:00:00Z;colonel divisionnaire Jacob Labhart;;Nomination du suppléant du chef de service de l'état-major général Chronique militaire BERNE, 27. — Le chef du service de l'état-major général, le colonel commandant de corps Roost, étant tombé malade, il a été nécessaire de procéder à la nomination immédiate d'un suppléant, eu égard notamment aux projets militaires urgents actuellement à l'étude ou en voie d'exécution. En conséquence, le chef du département militaire fédéral a nommé le colonel divisionnaire Jacob Labhart, ohef d'arme de la cavalerie _, en qualité de suppléant du chef du service de l'état-major général. ;OpenPrivate;SNL;y;local-Jl3MCLOw-daoNitOV;
EXP-1936-05-30-a-i0091;;fr;Des nominations à l'état-major général de l'armée;84;CH;EXP;EXP-1936-05-30-a;6;1;91.52681;1936;False;1936-05-30T00:00:00Z;Heinrich Roost|colonel divisionnaire Jakob Labhart;;Des nominations à l'état-major général de l'armée Le chef du service de l'etat-major général, colonel commandant de corps Heinrich Roost (à gauche) étant. _jopbé malade, il a été nécessaire de procéder à la nomination immédiate d'un suppléant, eu égard notamment au projet militaire urgent actuellement à l'étude on en voie d'exécution. En conséquence, le chef du département militaire fédéral a nommé le colonel divisionnaire Jakob Labhart (à droite), chef d'armes de la cavalerie, en qualité de suppléant du chef de service de l'état-major général. ;OpenPrivate;SNL;y;local-duma-OKI6MeiT,local-Jl3MCLOw-daoNitOV;
EXP-1936-06-20-a-i0006;;fr;Les grandes manœuvres aériennes de Berne sont terminées;210;CH;EXP;EXP-1936-06-20-a;1;1;19.431475;1936;True;1936-06-20T00:00:00Z;;;"Les grandes manœuvres aériennes de Berne sont terminées Diverses scènes en marge des opérations Notre correspondant de Berne a parlé brièvement, hier, de l'important défilé aérien clôturant les manœuvres d'aviation qui se déroulent depuis lundi, et qui a eu lieu jeudi matin au-dessus de l'aérodrome de Belpmoos et de la ville fédérale. ; Les avions des deux partis en présence — rouge et bleu — après avoir bataillé les uns contre les autres pendant trois jours, s'étaient pacifiquement réunis dans la matinée de jeudi au-dessus de la région Langenthal-Aarwangen. De là, en formations impeccables, les 86 appareils groupés en escadrilles se dirigèrent sur Berne et l'aérodrome de Belpmoos. Ils défilèrent au-dessus de la ville fédérale à 10 heures précises, où leur passage, jugé trop rapide au gré de beaucoup, suscita un vif intérêt. Nos clichés représentent divers aspects de ces premières grandes manœuvres aériennes. L'on voit, en haut, des avions Devoitine alignés sur le terrain de Belpmoos, après leur atterrissage. Les mécaniciens s'occupent du nettoyage des appareils. — Au milieu : la scène se déroule après l'atterrissage ; le chef d'escadrille fait ses critiques concernant la formation. — Enfin, en bas, toujours sur l'aérodrome de Belpmoos et une fois les grandes manœuvies terminées, le colonel-divisionnaire Labhart en fait la critique. ";OpenPrivate;SNL;y;local-Jl3MCLOw-daoNitOV;
EXP-1936-07-29-a-i0081;;fr;Le nouveau chef d'état-major de l'armée suisse;291;CH;EXP;EXP-1936-07-29-a;6;1;112.42976;1936;False;1936-07-29T00:00:00Z;Jacob Labhart|colonel Labhart BERNE|Jacob Labhart;Munich|Durant;Le nouveau chef d'état-major de l'armée suisse BBB-Bgg O ____ _ -- _____Chronique militaire BERNE, 28. — Le Conseil fédéral a nommé chef du service de l'étatmajor général le colonel-divisionnaire Jacob Labhart, de Steckborn, né en 1881, chef d'arme de la cavalerie et actuellement suppléant du chef de l'état-major général. La carrière du colonel Labhart BERNE, 28. — Le nouveau chef du ¦ service de l'état-major général, lonel-divisionnaire Jacob Labhart, fit des études d'ingénieur aux écoles techniques supérieures de Charlobbeubourg et de Munich et entra LE COLONEL LABHART en 1906 au service de la Confédération en qualité d'officier instructeur d'artillerie. Durant les années 1907 et 1908, il fut détaché et servit dans un régiment prussien d'artillerie de campagne. De 1916 à 1921, il occupa l'un des postes dirigeants de la maison Bally à Schônenwerd. Revenu au service de la Confédération, il fut de 1921 à 1924 vicedirecteur de l'Office fédéral du travail. C'est en 1924 qu'eut lieu sa rentrée dans l'administration militaire en qualité de chef de section pour les transports de l'armée et notamment de chef du service des automobiles. Il occupa ces fonctions jusqu'à sa * nomination comme chef d'arme de la cavalerie, le 3 décembre 1934. Le 31 décembre 1934, il était nommé lonel-divisionnaire. Comme commandant de troupes, le colonel Labhart commanda le groupe d'obusiers de 15 cm. No 2, puis le régiment d'artillerie lourde 2. A la fin de 1929. il fut placé au commandement « ad intérim » de la brigade d'artillerie 4. Il commanda enfin la brigade d'infanterie 13 de 1932 à 1934. C'est le 27 mai 1936 qu'il fut appelé aux fonctions de suppléant du chef du service de l'état-major général. Le nouveau chef de l'état-major général entrera en fonctions le 15 août prochain. ;OpenPrivate;SNL;y;local-duma-OKI6MeiT,local-Jl3MCLOw-daoNitOV;
EXP-1936-08-15-a-i0079;;fr;Démissions et nominations dans le haut commandement de l'armée fédéral[...];143;CH;EXP;EXP-1936-08-15-a;6;1;21.0676;1936;False;1936-08-15T00:00:00Z;Edouard Jordi|colonel Philippe Bardet|Hans Bandi;Dubendorf|Dubendorf;Démissions et nominations dans le haut commandement de l'armée fédérale BEBNE, 14. — Le Conseil fédéral, dans sa séance du 14 août, a nommé comme chef d'armes de la cavalerie, en remplacement du colonel divisionnaire Labhart, nommé chef de la division de l'état-major général, le colonel d'état-major Edouard Jordi, de Wyssachen, chef de sec-Le colonel BANDI tion à la division de l'état-major général. D'autre part, le colonel Philippe Bardet est libéré, sur sa demande, du commandement de la place d'arme d'aviation de Dubendorf. Le département militaire fédéral a chargé provisoirement des fonctions de commandant de la place d'arme d'aviation de Dubendorf le colonel d'état-major Hans Bandi, d'Oberwil, près de Biiren, chef de section à la division de l'état-major général, et l'a nommé provisoirement, vu l'importance de l'aviation militaire, chef de la division qui doit être créée pour l'aviation et la protection aérienne active. ;OpenPrivate;SNL;y;local-duma-OKI6MeiT,local-Jl3MCLOw-daoNitOV;
EXP-1936-08-18-a-i0060;;fr;Pans le haut commandement militaire;44;CH;EXP;EXP-1936-08-18-a;5;1;25.253893;1936;False;1936-08-18T00:00:00Z;Edouard Jordi;;Pans le haut commandement militaire Le Conseil fédéral a nommé chef d'arme de la cavalerie, en remplacement du colonel-divisionnaire Labhart (nommé chef de la division de l'état-major général) le colonel d'état-major Edouard Jordi, de Wyssachen, chef de section à la division de l'état-major général ;OpenPrivate;SNL;y;local-Jl3MCLOw-daoNitOV;
EXP-1936-10-23-a-i0127;;fr;RÉGION DES LACS;289;CH;EXP;EXP-1936-10-23-a;8;1;15.072886;1936;False;1936-10-23T00:00:00Z;major Louis Python|major Adolphe Remy;BIENNE|Fribourg|Yverdon;RÉGION DES LACS BIENNE I __ a foire (Corr.) Jeudi, s'est tenue la deuxième foire du mois d'octobre, qui fut bien fréquentée par les campagnards, dont les travaux d'automne touchent à leur fin. Les transactions ont été nombreuses et les prix pratiqués sont à quelque chose près ceux de la foire d'il y a quinze jours. On a vu de belles vaches se vendre jusqu'à 1100 francs et des génisses 1000 francs. Les gros porcs d'engrais se vendaient de 60 à 80 fr ., les moyens de 40 à 60 fr ., les petits cochons de 25 à 30 fr. et ceux de boucherie 1 fr. 55 à 1 fr. 60 le kilo. Sur le champ de foire, on a té 299 porcs, 94 vaches, 91 génisses, 7 veaux et 25 bœufs. MORAT Un grand réservoir d'iiydrants (Corr.) Le Conseil communal de Morat a chargé un ingénieur de présenter un projet de construction pour un réservoir d'eau pouvant contenir 800 mètres cubes. Ce réservoir serait situé non loin de les-Moines et la pression de l'eau pourrait atteindre quatre atmosphères. Ceci permettrait, en cas d'incendie, de protéger tous les bâtiments de la cité. Aussitôt qu le projet sera définitif, les crédits seront demandés au Conseil général de la ville de Morat. Cours d'officiers supérieurs (Corr.) Il y a actuellement à Fribourg, un cours d'officiers d'étatmajor III, qui a commencé le 3 octobre, à Yverdon. Il comprend une trentaine de participants, parmi lesquels deux Fribourgeois : le major Louis Python et le major Adolphe Remy. Les officiers sont sous les ordres du colonel Labhart, chef d'état-major général, et des colonels de Graffenried et Schertz. Les officiers se livrent tous les jours à des exercices de tactique. Le cours se terminera samedi. ;OpenPrivate;SNL;y;local-Jl3MCLOw-daoNitOV;
